timestamp;corpus_size;test_size;decomposition_size;cv;model_type;dataset;latent_r2_score;output_r2_score;test_id;target;most_imp_corpus_id;most_imp_corpus_weight;most_imp_corpus_target;corpus_ids;corpus_weight;corpus_targets
2024-02-23-22:53:10;50;50;5;1;R_NORMALIZE;MNIST;-0.7457005900776466;-0.08083433209032989;1;2;49;0.0;3;[49, 48, 47, 46, 45];[0.0, 0.0, 0.0, 0.0, 0.0];[3, 9, 5, 8, 9]
2024-02-23-22:53:13;50;50;5;1;R_INIT_WEIGHTS_RANDOM;MNIST;0.8899815916252362;0.9191491653329236;1;2;25;0.52119666;2;[25, 32, 36, 3, 39];[0.52119666, 0.26408288, 0.17918426, 0.025647972, 0.0020585957];[2, 6, 6, 1, 6]
2024-02-23-22:53:16;50;50;5;1;R_NO_SOFTMAX_IWR;MNIST;-15.37616632058507;-7.419731254092791;1;2;32;0.07790461;6;[32, 12, 41, 48, 5];[0.07790461, 0.0543576, 0.040255032, 0.04015802, 0.031384803];[6, 3, 8, 9, 2]
2024-02-23-22:53:20;50;50;5;1;R_NORMALIZE_IWR;MNIST;0.8911423690663095;0.9212114210864362;1;2;25;0.5229754;2;[25, 32, 36, 3, 47];[0.5229754, 0.26943746, 0.17844954, 0.02829295, 5.4922384e-05];[2, 6, 6, 1, 5]
2024-02-23-22:53:26;50;50;5;1;O_C_NO_SOFTMAX;MNIST;-2.3149219023101124;0.9448054311705432;1;2;48;0.36483464;9;[48, 38, 3, 20, 32];[0.36483464, 0.26203626, 0.16357663, 0.07567927, 0.0732304];[9, 7, 1, 4, 6]
2024-02-23-22:53:31;50;50;5;1;O_C_NO_REGULIZATION;MNIST;0.8910937902007572;0.9223138443530392;1;2;25;0.5212796;2;[25, 32, 36, 3, 39];[0.5212796, 0.26212147, 0.18017757, 0.026817495, 0.0013871772];[2, 6, 6, 1, 6]
2024-02-23-22:53:37;50;50;10;0;ORIGINAL;MNIST;0.8835873885615377;0.9082479593859786;0;7;15;0.42507347;7;[15, 28, 42, 38, 33, 45, 44, 16, 43, 29];[0.42507347, 0.3275376, 0.14525317, 0.098540835, 0.0006430172, 0.00024832756, 0.00023832035, 0.00019896142, 0.0001859813, 0.0001644353];[7, 2, 7, 7, 9, 9, 3, 2, 9, 7]
2024-02-23-22:53:43;50;50;10;0;ORIGINAL_COMPACT;MNIST;0.8835873885615377;0.9082479593859786;0;7;15;0.42507347;7;[15, 28, 42, 38, 33, 45, 44, 16, 43, 29];[0.42507347, 0.3275376, 0.14525317, 0.098540835, 0.0006430172, 0.00024832756, 0.00023832035, 0.00019896142, 0.0001859813, 0.0001644353];[7, 2, 7, 7, 9, 9, 3, 2, 9, 7]
2024-02-23-22:53:46;50;50;10;0;REIMPLEMENTED;MNIST;0.8839062946114431;0.9082283866436793;0;7;15;0.42542326;7;[15, 28, 42, 38, 33, 45, 44, 16, 43, 29];[0.42542326, 0.32767317, 0.14339986, 0.098426394, 0.0007423451, 0.0002871871, 0.0002758898, 0.00023020038, 0.00021540183, 0.00019045048];[7, 2, 7, 7, 9, 9, 3, 2, 9, 7]
2024-02-23-22:53:49;50;50;10;0;R_NO_SOFTMAX;MNIST;-10.274154305112601;-3.4664181579900095;0;7;15;0.057993602;7;[15, 27, 42, 23, 36, 28, 18, 38, 49, 4];[0.057993602, 0.05531018, 0.04920255, 0.034743425, 0.034424562, 0.026402382, 0.025967302, 0.025578972, 0.02474575, 0.024234582];[7, 3, 7, 1, 6, 2, 6, 7, 3, 9]
2024-02-23-22:53:53;50;50;10;0;R_NORMALIZE;MNIST;-0.7259808245543163;-0.05552758328025218;0;7;49;0.0;3;[49, 48, 47, 46, 45, 44, 43, 42, 41, 40];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[3, 9, 5, 8, 9, 3, 9, 7, 8, 1]
