timestamp,corpus_size,test_size,decomposition_size,cv,model_type,dataset,latent_r2_score,output_r2_score,sample_id,target,most_imp_corpus_id,most_imp_corpus_weight,most_imp_corpus_target,corpus_ids,corpus_weight,corpus_targets,
2024-02-25-21:53:33,100,10,5,0,ORIGINAL,CaD,0.40580183253232405,0.9249563449169314,0,1,6,0.3961359,1,"[6, 63, 53, 42, 29]","[0.3961359, 0.19516751, 0.14959274, 0.13327679, 0.12507957]","[1, 1, 0, 1, 1]",No visualization
2024-02-25-21:54:46,100,10,5,0,REIMPLEMENTED,CaD,0.5799254486101308,0.8951538615287338,0,1,6,0.3144182,1,"[6, 63, 53, 42, 55]","[0.3144182, 0.19007395, 0.105538554, 0.08813473, 0.08184601]","[1, 1, 0, 1, 1]",No visualization
2024-02-25-21:54:53,100,10,5,0,ORIGINAL,Heart,0.8373546335478553,0.5511427858639222,0,0,77,0.83988774,1,"[77, 69, 53, 85, 43]","[0.83988774, 0.15947132, 0.0003029621, 0.00017367992, 0.000115757575]","[1, 0, 0, 0, 0]",No visualization
2024-02-25-21:54:57,100,10,5,0,REIMPLEMENTED,Heart,-0.2020651731064873,-5.857063283902746,0,0,76,0.19050449,1,"[76, 0, 41, 78, 54]","[0.19050449, 0.13367698, 0.09154981, 0.07311156, 0.03481047]","[1, 0, 0, 1, 0]",No visualization
2024-02-25-21:55:41,100,10,5,0,ORIGINAL,MNIST_MakeCorpus,0.940962074799997,0.973088285380836,0,1,41,0.6715457,1,"[41, 11, 57, 97, 45]","[0.6715457, 0.1644378, 0.10534613, 0.043718424, 0.012049655]","[1, 1, 1, 5, 1]",No visualization
2024-02-25-21:56:14,100,10,5,0,REIMPLEMENTED,MNIST_MakeCorpus,0.9357044354018356,0.9665910843646064,0,1,41,0.6249591,1,"[41, 11, 57, 97, 45]","[0.6249591, 0.20003344, 0.09201906, 0.023449559, 0.016953703]","[1, 1, 1, 5, 1]",No visualization
2024-02-25-21:56:20,100,10,5,1,ORIGINAL,MNIST,0.9528206567630089,0.9791982924070715,0,1,49,0.33964348,1,"[49, 10, 63, 76, 6]","[0.33964348, 0.32749218, 0.17204088, 0.15278338, 0.004550249]","[1, 1, 1, 1, 1]",No visualization
2024-02-25-21:56:24,100,10,5,1,REIMPLEMENTED,MNIST,0.9385573594486283,0.9675046334989332,0,1,49,0.32960576,1,"[49, 10, 63, 76, 67]","[0.32960576, 0.32189018, 0.17381604, 0.14790046, 0.0068373824]","[1, 1, 1, 1, 1]",No visualization
2024-02-25-21:57:44,100,10,5,1,ORIGINAL,CaD,0.7888321303537305,0.9391444820082014,0,1,42,0.32392415,1,"[42, 74, 89, 38, 75]","[0.32392415, 0.3081076, 0.175363, 0.15953839, 0.031925194]","[1, 0, 0, 1, 0]",No visualization
2024-02-25-21:59:01,100,10,5,1,REIMPLEMENTED,CaD,0.8087484040529374,0.9165668894785121,0,1,42,0.333204,1,"[42, 74, 79, 89, 38]","[0.333204, 0.3080693, 0.09341377, 0.09017781, 0.079119906]","[1, 0, 1, 0, 1]",No visualization
2024-02-25-21:59:07,100,10,5,1,ORIGINAL,Heart,0.9434315894074865,0.638767605298189,0,1,18,0.99732226,1,"[18, 39, 71, 48, 47]","[0.99732226, 0.0011284561, 0.000802621, 0.00018505406, 9.118514e-05]","[1, 1, 1, 0, 1]",No visualization
2024-02-25-21:59:11,100,10,5,1,REIMPLEMENTED,Heart,0.6080137873160425,-3.0437868612330408,0,1,8,0.21897136,1,"[8, 95, 23, 29, 84]","[0.21897136, 0.1464893, 0.08471024, 0.04234359, 0.03452503]","[1, 0, 1, 1, 1]",No visualization
2024-02-25-21:59:54,100,10,5,1,ORIGINAL,MNIST_MakeCorpus,0.9321939256820486,0.9647454199079419,0,1,22,0.3979782,1,"[22, 92, 13, 24, 27]","[0.3979782, 0.21670927, 0.2050998, 0.17581262, 0.0026646543]","[1, 3, 6, 4, 5]",No visualization
2024-02-25-22:00:27,100,10,5,1,REIMPLEMENTED,MNIST_MakeCorpus,0.9279721416500039,0.9577087300312629,0,1,22,0.40654945,1,"[22, 13, 92, 24, 40]","[0.40654945, 0.20181155, 0.19570312, 0.16631116, 0.018631935]","[1, 6, 3, 4, 7]",No visualization
2024-02-25-22:00:35,100,10,5,2,ORIGINAL,MNIST,0.9261561001701842,0.960597637271633,0,1,90,0.48421654,1,"[90, 55, 89, 86, 1]","[0.48421654, 0.36495847, 0.07581272, 0.06596228, 0.00449081]","[1, 1, 1, 1, 1]",No visualization
2024-02-25-22:00:40,100,10,5,2,REIMPLEMENTED,MNIST,0.9261165754097251,0.9584368977636537,0,1,55,0.36858937,1,"[55, 90, 86, 87, 89]","[0.36858937, 0.17836519, 0.1752175, 0.11378247, 0.035009623]","[1, 1, 1, 1, 1]",No visualization
2024-02-25-22:01:48,100,10,5,2,ORIGINAL,CaD,-4.388298634408221,0.8916505064125987,0,1,25,0.25665137,1,"[25, 71, 32, 14, 26]","[0.25665137, 0.2296615, 0.20931238, 0.1644688, 0.13746154]","[1, 1, 0, 1, 0]",No visualization
